Iteration, Death_0, Death_1, Death_2, Death_3, Death_4, Death_5, Death_6, Death_7, Death_8, Death_9, Death_10, Death_11, Death_12, Death_13, Death_14, Death_15, Death_16, Death_17, Death_18, Death_19, Death_20, Death_21, Death_22, Death_23, Death_24, Death_25, Death_26, Death_27, Death_28, Death_29
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
4, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1
5, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1
6, 2, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1
7, 2, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1
8, 2, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1
9, 2, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1
10, 2, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1
11, 2, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1
12, 2, 1, 1, 2, 0, 1, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1
13, 2, 1, 1, 2, 0, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1
14, 2, 1, 1, 2, 0, 1, 2, 1, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 3, 1, 1, 2, 1, 2, 1
15, 2, 1, 1, 2, 0, 1, 2, 1, 1, 2, 3, 2, 3, 2, 2, 2, 2, 4, 1, 1, 2, 2, 3, 3, 1, 1, 2, 1, 2, 1
16, 2, 1, 2, 2, 0, 1, 2, 1, 1, 2, 4, 2, 3, 2, 2, 2, 2, 4, 1, 1, 2, 2, 3, 3, 1, 1, 2, 1, 2, 1
17, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 4, 2, 4, 2, 2, 2, 2, 4, 2, 1, 2, 2, 4, 3, 1, 1, 2, 1, 2, 1
18, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 4, 2, 4, 2, 2, 2, 2, 4, 2, 1, 2, 2, 5, 3, 1, 1, 2, 1, 2, 1
19, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 4, 2, 4, 2, 2, 2, 2, 4, 2, 1, 2, 2, 5, 3, 1, 1, 2, 1, 2, 1
20, 2, 1, 2, 2, 1, 1, 3, 1, 2, 2, 4, 2, 4, 2, 2, 2, 2, 4, 2, 1, 2, 2, 5, 3, 1, 1, 2, 1, 2, 1
21, 2, 1, 2, 2, 1, 1, 3, 1, 2, 2, 4, 2, 4, 2, 2, 2, 2, 4, 2, 1, 2, 2, 5, 3, 1, 1, 2, 2, 2, 1
22, 2, 1, 2, 2, 1, 1, 3, 1, 2, 2, 4, 2, 4, 2, 2, 2, 2, 5, 2, 1, 3, 2, 5, 4, 1, 1, 2, 2, 2, 1
23, 2, 1, 2, 2, 1, 1, 3, 1, 2, 2, 4, 2, 4, 2, 2, 2, 2, 6, 2, 1, 3, 2, 5, 4, 1, 1, 2, 2, 2, 2
24, 2, 1, 2, 2, 1, 2, 4, 1, 2, 2, 4, 2, 4, 2, 2, 2, 2, 7, 2, 1, 3, 2, 5, 4, 1, 1, 2, 2, 2, 3
25, 2, 1, 2, 2, 1, 2, 4, 1, 2, 2, 4, 2, 4, 2, 2, 2, 2, 7, 2, 1, 3, 2, 5, 4, 1, 1, 2, 2, 2, 3
